Section,Parameter,Value
Mission Power & Fuel,LD_reserve,15.0507
Mission Power & Fuel,LD_climb,19.1417
Mission Power & Fuel,V_reserve_TAS,64.5889
Mission Power & Fuel,V_climb_TAS,157.395
Mission Power & Fuel,m_LH2_total [kg],559.884
Mission Power & Fuel,"P_max (shaft, across phases) [W]",5.067632e+06
Power & Thrust Sizing,P_TO_total,5.567728e+06
Power & Thrust Sizing,P_TO_per_engine,2.783864e+06
Power & Thrust Sizing,P_from_climb,5.067632e+06
Power & Thrust Sizing,P_from_CS25_121,5.567728e+06
Power & Thrust Sizing,driving_case,CS-25.121 second segment
Power & Thrust Sizing,T_per_engine_V2,33414
Power & Thrust Sizing,V_2,58.32
Power & Thrust Sizing,LD_takeoff,11
Power & Thrust Sizing,gamma_min,0.024
Power & Thrust Sizing,P_total_OEI,2.783864e+06
Power & Thrust Sizing,T_static_total,99237.8
Power & Thrust Sizing,T_static_per_engine,49618.9
